ts_s,ang1,ang2,ang3,ang1_filtered,ang2_filtered,ang3_filtered,ang_principal,ang_principal_filtered
16.178683781490907,-82.544174,-0.9561965,-132.41833,-82.62589150039165,-1.4298013597610886,-133.48873475727572,-12.67400757739199,-13.760090871084117
16.18012393493416,-82.5905644144074,-1.0545810436095293,-132.6140745081331,-82.6276072752994,-1.4305870556282474,-133.48328139934213,-12.87308816620232,-13.75467114813327
16.18156408837741,-82.626724,-1.1312681,-132.76665,-82.62929619524121,-1.431372751495406,-133.47782804140854,-13.028264007652961,-13.749251367118916
16.18300424182066,-82.626724,-1.1312681,-132.76665,-82.63095743140357,-1.4321584473625646,-133.47237468347498,-13.028264007652961,-13.743831526249075
16.184444395263913,-82.626724,-1.1312681,-132.76665,-82.63261866756594,-1.4329441432297234,-133.46692132554142,-13.028264007652961,-13.73841168537923
16.185884548707165,-82.626724,-1.1312681,-132.76665,-82.632282874585,-1.4302869104013467,-133.46115258510963,-13.028264007652961,-13.732555105471574
16.187324702150416,-82.626724,-1.1312681,-132.76665,-82.63078483414147,-1.4256484801996698,-133.4552847505887,-13.028264007652961,-13.726529521884896
16.18876485559367,-82.626724,-1.1312681,-132.76665,-82.62917199281307,-1.4208381930040979,-133.44949641110532,-13.028264007652961,-13.720577287586384
16.190205009036923,-82.626724,-1.1312681,-132.76665,-82.62755915148465,-1.4160279058085259,-133.44370807162193,-13.028264007652961,-13.71462505328787
16.191645162480174,-82.59288264726491,-1.0689157914572787,-132.7142305484858,-82.62594631015622,-1.411217618612954,-133.4379197321385,-12.973678975528657,-13.708672818989356
16.193085315923426,-82.57427,-1.0346222,-132.6854,-82.62433346882783,-1.406407331417382,-133.43213139265515,-12.943657363897858,-13.702720584690844
16.194525469366678,-82.57427,-1.0346222,-132.6854,-82.6227206274994,-1.4015970442218102,-133.42634305317173,-12.943657363897858,-13.696768350392329
16.19596562280993,-82.50064608885698,-1.0346222,-132.6854,-82.62076386189003,-1.396687208007553,-133.42286189159,-12.943498180596137,-13.693117817976493
16.19740577625318,-82.39084158957627,-1.0346222,-132.6854,-82.61865485819999,-1.391733306420837,-133.4204020022911,-12.943260770732033,-13.69048613388371
16.198845929696432,-82.345535,-1.0346222,-132.6854,-82.61649198509978,-1.3865154595183449,-133.41681805250613,-12.9431628127126,-13.686721940548153
16.200286083139684,-82.345535,-1.0346222,-132.6854,-82.61432829506289,-1.381293609850448,-133.4132170561962,-12.9431628127126,-13.682940572561082
16.201726236582935,-82.27162953413773,-0.9180408938147845,-132.76315815093474,-82.61216460502598,-1.3760717601825516,-133.40961605988622,-13.016746632167171,-13.67915920457401
16.203166390026187,-82.24377,-0.8740942,-132.79247,-82.61000091498909,-1.3708499105146548,-133.40601506357626,-13.04448491791047,-13.67537783658694
16.20460654346944,-82.24377,-0.8740942,-132.79247,-82.60788341873241,-1.3657105045977116,-133.40245900977953,-13.04448491791047,-13.671644291812267
16.20604669691269,-82.24377,-0.8740942,-132.79247,-82.6082065042823,-1.3649268954497416,-133.40127742890064,-13.04448491791047,-13.670437417544946
16.207486850355945,-82.24377,-0.8740942,-132.79247,-82.6087021995033,-1.3645933027724326,-133.4009562895543,-13.04448491791047,-13.670106178968293
